sa2_code,sa2_name,hh_total,hh_low_u650,hh_high_ge2000,pct_low_u650,pct_high_ge2000
204021067,Wangaratta Surrounds,3131,582,1020,0.1858831044394762,0.32577451293516446
204031068,Beechworth,1683,368,508,0.21865715983363043,0.3018419489007724
204031069,Bright - Mount Beauty,2867,604,844,0.21067317753749565,0.2943843739100105
204031070,Chiltern - Indigo Valley,1045,192,328,0.18373205741626794,0.3138755980861244
204031071,Myrtleford,1707,417,434,0.24428822495606328,0.2542472173403632
204031072,Towong,2079,481,511,0.23136123136123135,0.24579124579124578
204031073,West Wodonga,5155,1013,1616,0.1965082444228904,0.31348205625606207
204031075,Yackandandah,1477,233,579,0.15775220040622884,0.3920108327691266
204031491,Baranduda - Leneva,3455,332,1746,0.09609261939218523,0.5053545586107091
204031492,Wodonga,5776,1378,1377,0.23857340720221606,0.23840027700831026
205011076,Drouin,6371,1271,1929,0.19949772406215666,0.30277821378119607
205011077,Mount Baw Baw Region,2008,414,582,0.2061752988047809,0.2898406374501992
205011078,Trafalgar (Vic.),2736,581,844,0.21235380116959066,0.3084795321637427
205011079,Warragul,7236,1395,2419,0.1927860696517413,0.33430071862907684
205021080,Alps - East,0,0,0,,
205021081,Bairnsdale,5575,1382,1292,0.24789237668161435,0.2317488789237668
205021082,Bruthen - Omeo,2679,582,709,0.21724524076147816,0.2646509891750653
205021083,Lake King,0,0,0,,
205021084,Lakes Entrance,4076,1145,773,0.2809126594700687,0.18964671246319922
205021085,Orbost,2403,792,394,0.3295880149812734,0.16396171452351227
205021086,Paynesville,2701,674,514,0.24953720844131802,0.19029988893002592
205031087,Foster,3398,956,720,0.28134196586227195,0.21188934667451442
205031088,French Island,44,14,6,0.3181818181818182,0.13636363636363635
205031089,Korumburra,3156,689,903,0.21831432192648922,0.28612167300380226
205031090,Leongatha,3887,939,1088,0.241574479032673,0.27990738358631334
205031091,Phillip Island,4840,1251,1066,0.2584710743801653,0.22024793388429753
205031092,Wilsons Promontory,8,0,0,0.0,0.0
205031093,Wonthaggi - Inverloch,9702,2629,2172,0.2709750566893424,0.22387136672850957
205041094,Churchill,3747,793,1099,0.21163597544702428,0.2933013077128369
205041095,Moe - Newborough,6400,2065,1292,0.32265625,0.201875
205041096,Morwell,5160,1722,835,0.33372093023255817,0.1618217054263566
205041098,Yallourn North - Glengarry,1425,254,505,0.1782456140350877,0.3543859649122807
205041493,Traralgon - East,3955,980,1137,0.24778761061946902,0.2874841972187105
205041494,Traralgon - West,5573,1074,1918,0.19271487529158443,0.34415933967342544
205051099,Alps - West,8,3,0,0.375,0.0
205051100,Longford - Loch Sport,1586,510,344,0.32156368221941994,0.21689785624211855
205051101,Maffra,4862,1144,1308,0.23529411764705882,0.2690250925545043
205051102,Rosedale,1198,222,368,0.18530884808013356,0.3071786310517529
205051103,Sale,5280,1276,1405,0.24166666666666667,0.26609848484848486
205051104,Yarram,2057,609,376,0.29606222654350994,0.18279047156052503
