sa2_code,sa2_name,median_hh_income,hh_total,hh_low_u650,hh_high_ge2000,pct_low_u650,pct_high_ge2000,median_hh_income_2016,income_growth_rate,median_age
207011521,Kew - South,2577.0,2640,453,1120,0.1715909090909091,0.4242424242424242,,,42.0
207011522,Kew - West,2459.0,3127,525,1301,0.1678925487687879,0.416053725615606,,,41.0
207021156,Bulleen,1812.0,3311,719,1150,0.2171549380851706,0.347327091513138,1501.0,0.207195203197868,45.0
207021157,Doncaster,1595.0,8094,1788,2552,0.2209043736100815,0.3152952804546577,1364.0,0.1693548387096774,40.0
207021159,Templestowe,2163.0,4111,697,1628,0.1695451228411578,0.3960107029919728,1916.0,0.1289144050104384,46.0
207021160,Templestowe Lower,1919.0,3891,725,1438,0.1863274222564893,0.3695708044204575,1596.0,0.2023809523809523,45.0
207021424,Doncaster East - North,1934.0,4204,737,1611,0.1753092293054234,0.3832064700285442,1743.0,0.1095811818703385,43.0
207021425,Doncaster East - South,1656.0,4681,998,1576,0.2132023071993163,0.336680196539201,1316.0,0.2583586626139817,40.0
207031161,Blackburn,2050.0,6224,1127,2410,0.181073264781491,0.3872107969151671,1693.0,0.2108682811577082,40.0
207031162,Blackburn South,1861.0,3158,745,1145,0.2359088030398986,0.3625712476250791,1516.0,0.2275725593667546,42.0
207031163,Box Hill,1441.0,7539,2020,2129,0.2679400450988194,0.2823981960472211,1200.0,0.2008333333333333,34.0
207031164,Box Hill North,1920.0,5171,1041,1906,0.2013150261071359,0.3685940823825179,1544.0,0.2435233160621761,39.0
207031165,Burwood (Vic.),1564.0,3645,993,1160,0.2724279835390946,0.3182441700960219,1126.0,0.38898756660746,33.0
207031166,Burwood East,1610.0,3324,711,1120,0.213898916967509,0.3369434416365824,1373.0,0.1726147123088128,41.0
207031167,Surrey Hills (East) - Mont Albert,2388.0,2548,428,1058,0.1679748822605965,0.4152276295133438,2147.0,0.1122496506753609,42.0
